
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05002643 : Great Missenden",960,547,300,96,17,0
"E05002644 : Hilltop and Townsend",1892,990,598,261,36,7
"E05002645 : Holmer Green",1632,885,506,219,20,2
"E05002646 : Little Chalfont",1982,1062,618,250,51,1
"E05002647 : Little Missenden",941,608,233,80,20,0
"E05002648 : Newtown",945,509,291,116,27,2
"E05002649 : Penn and Coleshill",1790,1174,491,117,8,0
"E05002650 : Prestwood and Heath End",2647,1508,786,317,32,4
"E05002651 : Ridgeway",1003,409,335,207,45,7
"E05002652 : St Mary's and Waterside",2154,1011,709,337,86,11
"E05002653 : Seer Green",889,580,205,95,9,0
"E05002654 : Vale",829,388,265,136,34,6
"E05002655 : Beaconsfield North",2023,1228,590,170,34,1
"E05002656 : Beaconsfield South",1475,892,386,158,35,4
"E05002657 : Beaconsfield West",1235,679,382,150,23,1
"E05002658 : Burnham Beeches",486,303,136,39,6,2
"E05002659 : Burnham Church",2105,1038,666,331,63,7
"E05002660 : Burnham Lent Rise",1837,873,579,315,62,8
"E05002661 : Denham North",1400,548,475,340,36,1
"E05002662 : Denham South",1406,711,473,191,31,0
"E05002663 : Dorney and Burnham South",595,328,185,74,8,0
"E05002664 : Farnham Royal",2126,1244,613,244,24,1
"E05002665 : Gerrards Cross East and Denham South West",715,420,210,75,9,1
"E05002666 : Gerrards Cross North",1255,770,391,84,8,2
"E05002667 : Gerrards Cross South",1190,783,340,63,4,0
"E05002668 : Hedgerley and Fulmer",572,317,181,59,15,0
"E05002669 : Iver Heath",1959,942,648,320,44,5
"E05002670 : Iver Village and Richings Park",1990,985,639,307,55,4
"E05002671 : Stoke Poges",2028,1107,616,265,37,3
"E05002672 : Taplow",791,475,233,77,5,1
"E05002673 : Wexham and Iver West",1326,618,476,192,39,1
"E05002674 : Abbey",3520,1740,1181,481,105,13
"E05002675 : Bledlow and Bradenham",1053,652,307,81,12,1
"E05002676 : Booker and Cressex",2091,862,679,448,86,16
"E05002677 : Bourne End-cum-Hedsor",2460,1329,738,331,58,4
"E05002678 : Bowerdean",1861,815,634,321,85,6
"E05002679 : Chiltern Rise",2235,1189,678,302,62,4
"E05002680 : Disraeli",2195,1000,720,367,92,16
"E05002681 : Downley and Plomer Hill",1954,1155,564,206,25,4
"E05002682 : Flackwell Heath and Little Marlow",2993,1655,916,369,50,3
"E05002683 : Greater Hughenden",3247,1984,938,294,28,3
"E05002684 : Greater Marlow",1960,1312,493,135,18,2
"E05002685 : Hambleden Valley",1074,684,289,88,12,1
"E05002686 : Hazlemere North",1872,1061,583,213,13,2
"E05002687 : Hazlemere South",1888,1086,526,247,27,2
"E05002688 : Icknield",1286,790,376,102,16,2
"E05002689 : Lacey Green, Speen and the Hampdens",1098,718,281,93,5,1
"E05002690 : Marlow North and West",3729,2123,1062,484,58,2
"E05002691 : Marlow South East",2377,1364,672,268,65,8
"E05002692 : Micklefield",2315,879,793,504,124,15
"E05002693 : Oakridge and Castlefield",3075,938,1128,743,238,28
"E05002694 : Ryemead",3177,1539,1027,490,102,19
"E05002695 : Sands",2445,1079,828,431,96,11
"E05002696 : Stokenchurch and Radnage",2290,1156,787,301,45,1
"E05002697 : Terriers and Amersham Hill",3679,1876,1195,474,117,17
"E05002698 : Totteridge",2657,1120,921,516,93,7
"E05002699 : The Risboroughs",3500,1689,1127,579,100,5
"E05002700 : The Wooburns",2271,1233,699,276,60,3
"E05002701 : Tylers Green and Loudwater",3559,2081,1024,383,64,7
"E05003920 : Devonshire",6215,2100,2053,1472,487,103
"E05003921 : Hampden Park",4309,1434,1446,1035,363,31
"E05003922 : Langney",4361,1456,1533,1007,323,42
"E05003923 : Meads",5638,2163,2217,1023,197,38
"E05003924 : Old Town",4511,2276,1409,657,155,14
"E05003925 : Ratton",4439,1863,1619,799,150,8
"E05003926 : St Anthony's",4764,1774,1570,1159,232,29
"E05003927 : Sovereign",5461,2446,1919,919,164,13
"E05003928 : Upperton",5314,2139,1802,1053,274,46
"E05003929 : Ashdown",2500,1121,808,447,115,9
"E05003930 : Baird",1982,612,650,516,186,18
"E05003931 : Braybrooke",2456,974,822,479,163,18
"E05003932 : Castle",3793,1211,1232,875,388,87
"E05003933 : Central St Leonards",4329,1161,1477,1099,518,74
"E05003934 : Conquest",2087,932,780,342,31,2
"E05003935 : Gensing",3185,1091,1084,675,274,61
"E05003936 : Hollington",2396,701,770,654,247,24
"E05003937 : Maze Hill",2317,965,843,414,87,8
"E05003938 : Old Hastings",2722,1186,876,500,144,16
"E05003939 : Ore",2281,780,787,540,163,11
"E05003940 : St Helens",2267,930,791,478,64,4
"E05003941 : Silverhill",2060,827,687,426,108,12
"E05003942 : Tressell",2216,799,687,512,200,18
"E05003943 : West St Leonards",2163,925,729,410,89,10
"E05003944 : Wishing Tree",2405,742,797,628,225,13
"E05003945 : Barcombe and Hamsey",840,459,241,119,20,1
"E05003946 : Chailey and Wivelsfield",1926,1058,593,226,46,3
"E05003947 : Ditchling and Westmeston",994,533,332,119,10,0
"E05003948 : East Saltdean and Telscombe Cliffs",3161,1372,1096,581,102,10
"E05003949 : Kingston",847,459,273,93,19,3
"E05003950 : Lewes Bridge",2288,1095,751,354,80,8
"E05003951 : Lewes Castle",2075,994,626,343,101,11
"E05003952 : Lewes Priory",3094,1678,943,366,100,7
"E05003953 : Newhaven Denton and Meeching",3500,1372,1185,753,172,18
"E05003954 : Newhaven Valley",1752,651,590,372,115,24
"E05003955 : Newick",1000,564,316,106,13,1
"E05003956 : Ouse Valley and Ringmer",2769,1321,886,480,77,5
"E05003957 : Peacehaven East",2218,725,774,604,112,3
"E05003958 : Peacehaven North",1901,723,690,376,102,10
"E05003959 : Peacehaven West",2130,700,753,544,119,14
"E05003960 : Plumpton, Streat, East Chiltington and St John (Without)",892,496,287,95,13,1
"E05003961 : Seaford Central",2446,969,883,465,112,17
"E05003962 : Seaford East",2131,882,771,418,58,2
"E05003963 : Seaford North",2194,889,774,448,75,8
"E05003964 : Seaford South",1916,869,640,330,74,3
"E05003965 : Seaford West",2107,901,790,378,35,3
"E05003966 : Battle Town",2341,1040,814,406,76,5
"E05003967 : Brede Valley",2014,897,703,359,52,3
"E05003968 : Central",3034,931,1088,797,188,30
"E05003969 : Collington",2160,851,838,415,54,2
"E05003970 : Crowhurst",1021,508,343,145,25,0
"E05003971 : Darwell",2059,1101,628,270,59,1
"E05003972 : Eastern Rother",2267,814,826,529,89,9
"E05003973 : Ewhurst and Sedlescombe",1136,532,367,185,49,3
"E05003974 : Kewhurst",2275,857,908,462,46,2
"E05003975 : Marsham",1801,731,723,304,42,1
"E05003976 : Old Town",1765,679,634,389,59,4
"E05003977 : Rother Levels",2090,941,734,355,55,5
"E05003978 : Rye",2048,773,722,437,106,10
"E05003979 : Sackville",2427,764,929,613,105,16
"E05003980 : St Marks",2097,844,876,338,38,1
"E05003981 : St Michaels",2181,756,781,547,90,7
"E05003982 : St Stephens",2123,801,780,443,96,3
"E05003983 : Salehurst",1801,925,549,267,56,4
"E05003984 : Sidley",2399,704,817,658,203,17
"E05003985 : Ticehurst and Etchingham",1838,1005,555,228,48,2
"E05003986 : Alfriston",1169,520,400,212,36,1
"E05003987 : Buxted and Maresfield",2207,1230,667,263,44,3
"E05003988 : Chiddingly and East Hoathly",1242,718,370,129,25,0
"E05003989 : Cross in Hand/Five Ashes",970,506,331,123,10,0
"E05003990 : Crowborough East",2041,1018,648,314,60,1
"E05003991 : Crowborough Jarvis Brook",1085,489,378,174,41,3
"E05003992 : Crowborough North",2342,1257,767,283,34,1
"E05003993 : Crowborough St. Johns",942,562,286,82,11,1
"E05003994 : Crowborough West",2046,1083,682,243,34,4
"E05003995 : Danehill/Fletching/Nutley",2062,1224,601,204,30,3
"E05003996 : East Dean",1050,558,359,118,14,1
"E05003997 : Forest Row",2115,1183,665,233,32,2
"E05003998 : Framfield",1103,650,331,110,11,1
"E05003999 : Frant/Withyham",2092,1227,615,219,29,2
"E05004000 : Hailsham Central and North",2520,1027,911,504,73,5
"E05004001 : Hailsham East",1183,338,404,330,101,10
"E05004002 : Hailsham South and West",3574,1351,1276,790,145,12
"E05004003 : Hartfield",1090,581,361,130,18,0
"E05004004 : Heathfield East",1000,557,320,99,23,1
"E05004005 : Heathfield North and Central",3529,1708,1159,576,78,8
"E05004006 : Hellingly",2308,1108,801,348,48,3
"E05004007 : Herstmonceux",1225,563,417,210,31,4
"E05004008 : Horam",1114,522,358,200,32,2
"E05004009 : Mayfield",1139,636,355,137,11,0
"E05004010 : Ninfield and Hooe with Wartling",993,464,347,146,32,4
"E05004011 : Pevensey and Westham",4125,1766,1432,789,134,4
"E05004012 : Polegate North",2497,900,905,602,83,7
"E05004013 : Polegate South",1152,393,429,266,60,4
"E05004014 : Rotherfield",1022,564,326,114,18,0
"E05004015 : Uckfield Central",1338,633,439,222,39,5
"E05004016 : Uckfield New Town",1225,580,389,206,45,5
"E05004017 : Uckfield North",2330,1065,761,407,91,6
"E05004018 : Uckfield Ridgewood",1184,731,345,91,17,0
"E05004019 : Wadhurst",2156,1239,639,227,46,5
"E05004020 : Willingdon",3506,1433,1294,692,80,7
"E05004430 : Basing",3489,2085,969,386,47,2
"E05004431 : Baughurst and Tadley North",2184,1110,726,297,48,3
"E05004437 : Bramley and Sherfield",2367,1474,616,238,34,5
"E05004432 : Brighton Hill North",2154,1095,718,278,58,5
"E05004433 : Brighton Hill South",2310,1019,751,421,113,6
"E05004434 : Brookvale and Kings Furlong",2927,1397,955,462,99,14
"E05004435 : Buckskin",2638,1172,854,486,115,11
"E05004436 : Burghclere, Highclere and St Mary Bourne",2246,1282,654,261,47,2
"E05004438 : Chineham",3873,2531,1033,257,48,4
"E05004439 : East Woodhay",1092,698,289,92,11,2
"E05004440 : Eastrop",2637,1183,969,406,74,5
"E05004441 : Grove",2542,1248,866,354,71,3
"E05004442 : Hatch Warren and Beggarwood",3377,2337,785,221,33,1
"E05004443 : Kempshott",2678,1575,835,244,23,1
"E05004444 : Kingsclere",2123,1153,643,285,41,1
"E05004445 : Norden",3606,1530,1238,672,156,10
"E05004446 : Oakley and North Waltham",2735,1514,821,355,43,2
"E05004447 : Overton, Laverstoke and Steventon",2107,1095,667,305,36,4
"E05004448 : Pamber and Silchester",1835,1054,519,233,28,1
"E05004449 : Popley East",2336,924,813,460,122,17
"E05004450 : Popley West",2215,991,725,387,102,10
"E05004451 : Rooksdown",1410,868,357,140,41,4
"E05004452 : Sherborne St John",929,537,262,113,16,1
"E05004453 : South Ham",4009,1312,1384,1063,226,24
"E05004454 : Tadley Central",1137,547,398,167,20,5
"E05004455 : Tadley South",2482,1325,814,295,46,2
"E05004456 : Upton Grey and The Candovers",1153,680,348,113,12,0
"E05004457 : Whitchurch",2241,1205,699,293,42,2
"E05004458 : Winklebury",2483,1079,836,456,102,10
"E05004459 : Alton Amery",982,557,321,101,2,1
"E05004460 : Alton Ashdell",1066,594,346,113,12,1
"E05004461 : Alton Eastbrooke",1194,441,404,268,72,9
"E05004462 : Alton Westbrooke",1539,583,552,294,105,5
"E05004463 : Alton Whitedown",1174,668,337,143,22,4
"E05004464 : Alton Wooteys",990,434,334,177,42,3
"E05004465 : Binsted and Bentley",1131,726,304,86,13,2
"E05004466 : Bramshott and Liphook",3532,1901,1106,458,65,2
"E05004467 : Clanfield and Finchdean",1983,1105,623,223,31,1
"E05004468 : Downland",961,610,260,84,7,0
"E05004469 : East Meon",929,511,288,112,15,3
"E05004470 : Four Marks and Medstead",2334,1413,674,218,26,3
"E05004471 : Froxfield and Steep",993,592,290,95,14,2
"E05004472 : Grayshott",1052,552,355,125,19,1
"E05004473 : Headley",2291,1287,690,271,41,2
"E05004474 : Holybourne and Froyle",1092,662,321,93,16,0
"E05004475 : Horndean Catherington and Lovedean",943,559,282,88,12,2
"E05004476 : Horndean Downs",1037,571,319,130,16,1
"E05004477 : Horndean Hazleton and Blendworth",1002,493,342,151,16,0
"E05004478 : Horndean Kings",1266,717,380,131,35,3
"E05004479 : Horndean Murray",992,454,353,156,26,3
"E05004480 : Lindford",1101,576,364,131,25,5
"E05004481 : Liss",2063,1103,645,263,49,3
"E05004482 : Petersfield Bell Hill",1006,551,307,120,21,7
"E05004483 : Petersfield Causeway",1175,513,390,206,60,6
"E05004484 : Petersfield Heath",940,514,286,115,24,1
"E05004485 : Petersfield Rother",1000,622,298,73,7,0
"E05004486 : Petersfield St Marys",1090,660,291,98,35,6
"E05004487 : Petersfield St Peters",1314,581,426,238,57,12
"E05004488 : Ropley and Tisted",880,513,251,97,18,1
"E05004489 : Rowlands Castle",1138,635,340,137,26,0
"E05004490 : Selborne",939,549,244,120,23,3
"E05004491 : The Hangers and Forest",967,576,268,107,13,3
"E05004492 : Whitehill Chase",1106,496,349,208,50,3
"E05004493 : Whitehill Deadwater",1013,452,363,154,42,2
"E05004494 : Whitehill Hogmoor",966,481,332,130,21,2
"E05004495 : Whitehill Pinewood",1138,624,338,133,38,5
"E05004496 : Whitehill Walldown",939,466,309,146,17,1
"E05004497 : Bishopstoke East",2322,1220,745,307,49,1
"E05004498 : Bishopstoke West",2347,1070,736,435,102,4
"E05004499 : Botley",2156,1084,713,312,44,3
"E05004500 : Bursledon and Old Netley",3200,1576,1039,488,89,8
"E05004501 : Chandler's Ford East",2092,1062,673,318,36,3
"E05004502 : Chandler's Ford West",2572,1431,806,297,36,2
"E05004503 : Eastleigh Central",4684,2152,1499,789,220,24
"E05004504 : Eastleigh North",3377,1691,1025,547,105,9
"E05004505 : Eastleigh South",3722,1498,1153,830,229,12
"E05004506 : Fair Oak and Horton Heath",3483,1978,1017,420,63,5
"E05004507 : Hamble-le-Rice and Butlocks Heath",2517,1405,768,291,51,2
"E05004508 : Hedge End Grange Park",2953,2024,721,166,42,0
"E05004509 : Hedge End St John's",3120,1613,985,459,60,3
"E05004510 : Hedge End Wildern",2254,1106,701,361,82,4
"E05004511 : Hiltingbury East",2044,1152,679,196,17,0
"E05004512 : Hiltingbury West",2188,1384,597,187,18,2
"E05004513 : Netley Abbey",2398,1038,803,449,96,12
"E05004514 : West End North",2162,1059,690,367,42,4
"E05004515 : West End South",2586,1261,858,392,70,5
"E05004516 : Fareham East",3162,1590,1016,440,107,9
"E05004517 : Fareham North",3054,1561,1024,404,60,5
"E05004518 : Fareham North-West",3062,1401,971,530,140,20
"E05004519 : Fareham South",3089,1210,1075,608,169,27
"E05004520 : Fareham West",2871,1428,969,422,50,2
"E05004521 : Hill Head",3118,1641,1021,410,44,2
"E05004522 : Locks Heath",2854,1558,857,389,50,0
"E05004523 : Park Gate",3189,1811,941,370,63,4
"E05004524 : Portchester East",4807,2105,1628,918,146,10
"E05004525 : Portchester West",2884,1521,945,371,45,2
"E05004526 : Sarisbury",2784,1928,653,181,21,1
"E05004527 : Stubbington",2913,1379,941,524,68,1
"E05004528 : Titchfield",2965,1685,919,314,41,6
"E05004529 : Titchfield Common",2970,1674,874,371,45,6
"E05004530 : Warsash",2857,1702,837,276,41,1
"E05004531 : Alverstoke",1862,980,633,220,27,2
"E05004532 : Anglesey",1530,818,479,184,42,7
"E05004533 : Bridgemary North",1896,743,631,446,70,6
"E05004534 : Bridgemary South",1952,667,716,424,136,9
"E05004535 : Brockhurst",2338,989,794,467,79,9
"E05004536 : Christchurch",2353,1008,769,446,119,11
"E05004537 : Elson",1927,935,599,341,50,2
"E05004538 : Forton",1930,784,652,377,111,6
"E05004539 : Grange",2036,812,761,333,121,9
"E05004540 : Hardway",2445,1256,816,306,65,2
"E05004541 : Lee East",2408,1316,737,282,69,4
"E05004542 : Lee West",2208,1019,820,320,48,1
"E05004543 : Leesland",2200,949,711,413,119,8
"E05004544 : Peel Common",1880,705,689,408,70,8
"E05004545 : Privett",1835,807,592,338,90,8
"E05004546 : Rowner and Holbrook",1879,755,632,349,127,16
"E05004547 : Town",2751,939,923,659,202,28
"E05004548 : Blackwater and Hawley",1833,976,605,221,28,3
"E05004549 : Church Crookham East",1939,1078,610,229,21,1
"E05004550 : Church Crookham West",2095,1347,557,175,14,2
"E05004551 : Crondall",1539,941,445,133,20,0
"E05004552 : Eversley",1032,613,309,101,8,1
"E05004553 : Fleet Central",2477,1370,760,318,29,0
"E05004554 : Fleet Courtmoor",1895,1043,592,203,52,5
"E05004555 : Fleet North",2894,2063,660,144,23,4
"E05004556 : Fleet Pondtail",1865,1068,518,236,40,3
"E05004557 : Fleet West",1914,1105,574,208,25,2
"E05004558 : Frogmore and Darby Green",2018,1033,696,257,28,4
"E05004559 : Hartley Wintney",2139,1152,625,297,63,2
"E05004560 : Hook",3214,2046,793,330,43,2
"E05004561 : Long Sutton",896,645,190,58,3,0
"E05004562 : Odiham",1927,1112,582,192,40,1
"E05004563 : Yateley East",2044,1028,651,315,49,1
"E05004564 : Yateley North",1987,1102,625,216,39,5
"E05004565 : Yateley West",1802,1106,508,172,16,0
"E05004566 : Barncroft",2468,735,825,646,237,25
"E05004567 : Battins",2935,761,973,827,343,31
"E05004568 : Bedhampton",3692,1578,1283,683,135,13
"E05004569 : Bondfields",2880,831,956,771,284,38
"E05004570 : Cowplain",3955,1943,1320,597,91,4
"E05004571 : Emsworth",4329,2199,1427,594,104,5
"E05004572 : Hart Plain",4171,1676,1426,818,212,39
"E05004573 : Hayling East",4119,1644,1490,780,189,16
"E05004574 : Hayling West",3840,1684,1384,645,120,7
"E05004575 : Purbrook",3852,1848,1266,573,154,11
"E05004576 : St Faith's",3969,2008,1234,580,121,26
"E05004577 : Stakes",4039,1640,1356,770,242,31
"E05004578 : Warren Park",2853,819,988,724,291,31
"E05004579 : Waterloo",4209,1953,1424,686,122,24
"E05004580 : Ashurst, Copythorne South and Netley Marsh",2289,1186,770,296,34,3
"E05004581 : Barton",2652,1088,1045,466,53,0
"E05004582 : Bashley",1182,572,395,199,16,0
"E05004583 : Becton",2227,919,807,439,55,7
"E05004584 : Boldre and Sway",2261,1198,726,292,41,4
"E05004585 : Bramshaw, Copythorne North and Minstead",1048,580,339,115,14,0
"E05004586 : Bransgore and Burley",2359,1262,727,316,51,3
"E05004587 : Brockenhurst and Forest South East",2377,1295,757,277,47,1
"E05004588 : Buckland",1638,779,551,247,54,7
"E05004589 : Butts Ash and Dibden Purlieu",2616,1246,853,433,80,4
"E05004590 : Dibden and Hythe East",2669,1227,891,475,75,1
"E05008932 : Downlands and Forest",1207,647,390,149,20,1
"E05004592 : Fawley, Blackfield and Langley",2583,1172,908,436,60,7
"E05004593 : Fernhill",2781,1067,1016,544,139,15
"E05008933 : Fordingbridge",2896,1421,923,461,82,9
"E05008934 : Forest North West",1064,548,375,126,15,0
"E05004596 : Furzedown and Hardley",1451,638,497,269,41,6
"E05004597 : Holbury and North Blackfield",2749,1105,950,570,116,8
"E05004598 : Hordle",2453,1162,849,393,47,2
"E05004599 : Hythe West and Langdown",2904,1305,1001,517,75,6
"E05004600 : Lymington Town",3006,1524,983,434,60,5
"E05004601 : Lyndhurst",1374,700,449,182,37,6
"E05004602 : Marchwood",2446,1334,767,281,56,8
"E05004603 : Milford",2407,1183,835,349,38,2
"E05004604 : Milton",3074,976,1201,738,150,9
"E05004605 : Pennington",2676,1109,923,548,86,10
"E05004606 : Ringwood East and Sopley",1030,582,315,110,22,1
"E05004607 : Ringwood North",2527,1216,803,430,72,6
"E05004608 : Ringwood South",2765,1180,915,544,114,12
"E05004609 : Totton Central",2200,1126,722,291,58,3
"E05004610 : Totton East",2675,1137,872,547,110,9
"E05004611 : Totton North",2552,1245,817,371,106,13
"E05004612 : Totton South",2526,1198,845,392,87,4
"E05004613 : Totton West",2175,1009,710,371,78,7
"E05004614 : Cove and Southwood",2321,1288,689,287,50,7
"E05004615 : Empress",2892,1578,895,357,53,9
"E05004616 : Fernhill",2121,1096,669,303,47,6
"E05004617 : Grange",2401,1023,798,455,115,10
"E05004618 : Heron Wood",2500,891,828,584,174,23
"E05004619 : Knellwood",2438,1394,736,249,51,8
"E05004620 : Manor Park",2478,1290,798,314,72,4
"E05004621 : Mayfield",2344,851,863,465,154,11
"E05004622 : North Town",2849,1324,975,420,118,12
"E05004623 : Rowhill",2272,974,765,402,123,8
"E05004624 : St. John's",2787,1534,845,341,61,6
"E05004625 : St. Mark's",2965,1416,954,465,118,12
"E05004626 : Wellington",3794,1575,1343,644,193,39
"E05004627 : Westheath",2182,1028,740,338,72,4
"E05004628 : Abbey",2367,955,795,506,102,9
"E05004629 : Alamein",3468,1427,1169,634,215,23
"E05004630 : Ampfield and Braishfield",916,550,254,98,12,2
"E05004631 : Amport",931,480,315,117,19,0
"E05004632 : Anna",1969,1149,596,194,29,1
"E05004633 : Blackwater",1986,1093,647,207,34,5
"E05004634 : Bourne Valley",867,507,274,78,8,0
"E05004635 : Broughton and Stockbridge",1987,1082,612,251,40,2
"E05004636 : Charlton",839,428,271,129,11,0
"E05004637 : Chilworth, Nursling and Rownhams",2501,1411,769,273,47,1
"E05004638 : Cupernham",2141,1148,650,287,50,6
"E05004639 : Dun Valley",883,503,239,122,19,0
"E05004640 : Harewood",917,522,260,124,11,0
"E05004641 : Harroway",3145,1645,993,419,83,5
"E05004642 : Kings Somborne and Michelmersh",1029,593,288,126,20,2
"E05004643 : Millway",3038,1650,947,360,77,4
"E05004644 : North Baddesley",2902,1404,958,471,62,7
"E05004645 : Over Wallop",722,447,195,68,12,0
"E05004646 : Penton Bellinger",1895,1050,552,260,31,2
"E05004647 : Romsey Extra",1232,724,331,156,18,3
"E05004648 : St Mary's",3460,1356,1216,705,170,13
"E05004649 : Tadburn",2170,1152,708,277,32,1
"E05004650 : Valley Park",2831,1963,664,188,14,2
"E05004651 : Winton",3430,1674,1110,530,102,14
