QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05007159 : Thurston and Hessett,"4,409",2.5
E05007160 : Wetheringsett,"2,530",0.5
E05007161 : Woolpit,"1,995",2.7
E05007162 : Worlingworth,"2,429",0.4
E05007163 : Abbeygate,"4,993",29.8
E05007164 : Bardwell,"2,591",0.3
E05007165 : Barningham,"2,644",0.8
E05007166 : Barrow,"2,317",0.7
E05007167 : Cavendish,"1,984",0.4
E05007168 : Chedburgh,"2,090",0.6
E05007169 : Clare,"2,028",2.2
E05007170 : Eastgate,"2,466",11.1
E05007171 : Fornham,"2,030",1.6
E05007172 : Great Barton,"2,191",1.5
E05007173 : Haverhill East,"7,756",30.6
E05007174 : Haverhill North,"7,796",34.4
E05007175 : Haverhill South,"5,879",14.7
E05007176 : Haverhill West,"5,610",26.0
E05007177 : Horringer and Whelnetham,"2,255",0.9
E05007178 : Hundon,"3,002",0.8
E05007179 : Ixworth,"2,365",1.7
E05007180 : Kedington,"2,017",1.4
E05007181 : Minden,"4,637",28.6
E05007182 : Moreton Hall,"7,968",25.0
E05007183 : Northgate,"2,592",34.3
E05007184 : Pakenham,"3,420",0.8
E05007185 : Risby,"2,646",0.4
E05007186 : Risbygate,"5,114",32.9
E05007187 : Rougham,"2,341",0.5
E05007188 : St Olaves,"4,609",43.6
E05007189 : Southgate,"4,539",13.3
E05007190 : Stanton,"2,507",1.5
E05007191 : Westgate,"4,195",28.0
E05007192 : Wickhambrook,"2,192",0.5
E05007193 : Withersfield,"2,234",0.4
E05007194 : Aldeburgh,"3,225",1.8
E05007195 : Earl Soham,"2,144",0.4
E05007196 : Farlingaye,"2,073",26.8
E05007197 : Felixstowe East,"3,810",7.5
E05007198 : Felixstowe North,"4,298",11.0
E05007199 : Felixstowe South,"4,432",19.5
E05007200 : Felixstowe South East,"4,499",33.3
E05007201 : Felixstowe West,"6,650",16.8
E05007202 : Framlingham,"4,744",0.9
E05007203 : Grundisburgh,"2,306",1.3
E05007204 : Hacheston,"1,977",0.4
E05007205 : Hollesley with Eyke,"2,473",0.4
E05007206 : Kesgrave East,"10,666",28.4
E05007207 : Kesgrave West,"3,736",21.1
E05007208 : Kyson,"2,121",16.3
E05007209 : Leiston,"6,360",2.5
E05007210 : Martlesham,"4,897",4.6
E05007211 : Melton and Ufford,"4,883",2.8
E05007212 : Nacton,"4,602",1.0
E05007213 : Orford and Tunstall,"1,830",0.3
E05007214 : Otley,"2,272",0.5
E05007215 : Peasenhall,"2,076",0.3
E05007216 : Rendlesham,"3,388",2.2
E05007217 : Riverside,"1,967",8.3
E05007218 : Rushmere St Andrew,"6,185",11.1
E05007219 : Saxmundham,"4,913",1.6
E05007220 : Seckford,"1,935",32.7
E05007221 : Snape,"1,911",0.5
E05007222 : Sutton,"3,014",0.5
E05007223 : Trimleys with Kirton,"6,923",2.3
E05007224 : Walberswick and Wenhaston,"1,966",0.4
E05007225 : Wickham Market,"2,156",4.5
E05007226 : Witnesham,"1,965",0.8
E05007227 : Yoxford,"1,901",0.3
E05007228 : Beccles North,"5,005",8.1
E05007229 : Beccles South,"5,118",26.1
E05007230 : Blything,"2,150",0.5
E05007231 : Bungay,"5,127",4.8
E05007232 : Carlton,"4,586",28.5
E05007233 : Carlton Colville,"8,505",10.4
E05007234 : Gunton and Corton,"4,400",6.5
E05007235 : Halesworth,"4,726",10.6
E05007236 : Harbour,"7,818",43.1
E05007237 : Kessingland,"5,105",3.8
E05007238 : Kirkley,"7,439",37.8
E05007239 : Lothingland,"2,568",0.8
E05007240 : Normanston,"6,898",31.8
E05007241 : Oulton,"4,387",17.8
E05007242 : Oulton Broad,"4,619",25.6
E05007243 : Pakefield,"6,563",29.1
E05007244 : St Margaret's,"7,967",39.3
E05007245 : Southwold and Reydon,"3,680",2.6
E05007246 : The Saints,"2,242",0.3
E05007247 : Wainford,"2,185",0.4
E05007248 : Whitton,"7,269",32.5
E05007249 : Worlingham,"4,673",2.9
E05007250 : Wrentham,"2,224",0.4
E05000128 : Belsize,"12,702",162.8
E05000129 : Bloomsbury,"10,892",106.7
E05000130 : Camden Town with Primrose Hill,"12,613",108.2
E05000131 : Cantelowes,"11,925",157.4
E05000132 : Fortune Green,"11,740",116.8
E05000133 : Frognal and Fitzjohns,"11,986",78.2
E05000134 : Gospel Oak,"11,264",163.1
E05000135 : Hampstead Town,"11,270",46.0
E05000136 : Haverstock,"12,364",169.0
E05000137 : Highgate,"10,955",33.8
E05000138 : Holborn and Covent Garden,"13,023",108.4
E05000139 : Kentish Town,"13,417",130.6
E05000140 : Kilburn,"12,038",175.6
E05000141 : King's Cross,"11,843",194.3
E05000142 : Regent's Park,"13,528",100.2
E05000143 : St Pancras and Somers Town,"13,818",98.7
E05000144 : Swiss Cottage,"12,900",102.6
E05000145 : West Hampstead,"12,060",135.8
E05000001 : Aldersgate,"1,465",112.9
E05000005 : Bishopsgate,222,2.7
E05000015 : Cripplegate,"2,782",96.8
E05000017 : Farringdon Within,276,10.3
E05000018 : Farringdon Without,"1,099",17.2
E05000021 : Portsoken,985,52.0
E05000022 : Queenhithe,319,13.8
E05000023 : Tower,227,6.7
E05000231 : Brownswood,"11,091",131.8
E05000232 : Cazenove,"13,392",195.8
E05000233 : Chatham,"13,232",145.5
E05000234 : Clissold,"12,212",174.1
E05000235 : Dalston,"14,727",159.0
E05000236 : De Beauvoir,"13,643",153.6
E05000237 : Hackney Central,"12,548",160.9
E05000238 : Hackney Downs,"12,921",126.9
E05000239 : Haggerston,"13,904",111.9
E05000240 : Hoxton,"15,174",180.9
E05000241 : King's Park,"11,098",61.2
E05000242 : Leabridge,"14,039",132.0
E05000243 : Lordship,"12,280",103.1
E05000244 : New River,"12,551",127.6
E05000245 : Queensbridge,"13,670",126.6
E05000246 : Springfield,"12,378",130.0
E05000247 : Stoke Newington Central,"12,445",174.8
E05000248 : Victoria,"13,231",164.6
E05000249 : Wick,"11,734",71.9
E05000250 : Addison,"11,518",208.4
E05000251 : Askew,"14,160",186.5
E05000252 : Avonmore and Brook Green,"12,216",136.6
E05000253 : College Park and Old Oak,"9,175",26.7
E05000254 : Fulham Broadway,"10,996",164.8
E05000255 : Fulham Reach,"11,306",137.3
E05000256 : Hammersmith Broadway,"11,923",113.7
E05000257 : Munster,"11,004",176.5
E05000258 : North End,"11,589",181.6
E05000259 : Palace Riverside,"7,483",65.8
E05000260 : Parsons Green and Walham,"10,813",120.5
E05000261 : Ravenscourt Park,"10,785",93.3
E05000262 : Sands End,"12,760",111.8
E05000263 : Shepherd's Bush Green,"12,175",114.1
E05000264 : Town,"11,201",172.3
E05000265 : Wormholt and White City,"13,389",148.1
E05000266 : Alexandra,"11,795",45.1
E05000267 : Bounds Green,"13,725",99.2
E05000268 : Bruce Grove,"14,483",155.5
E05000269 : Crouch End,"12,395",86.1
E05000270 : Fortis Green,"12,488",62.6
E05000271 : Harringay,"13,272",85.0
E05000272 : Highgate,"11,632",46.5
E05000273 : Hornsey,"12,659",119.9
E05000274 : Muswell Hill,"10,784",65.3
E05000275 : Noel Park,"13,939",113.4
E05000276 : Northumberland Park,"14,429",76.6
E05000277 : St Ann's,"14,638",133.4
E05000278 : Seven Sisters,"15,968",123.6
E05000279 : Stroud Green,"11,758",107.4
E05000280 : Tottenham Green,"14,580",107.1
E05000281 : Tottenham Hale,"15,064",78.8
E05000282 : West Green,"13,372",95.6
E05000283 : White Hart Lane,"13,431",79.1
E05000284 : Woodside,"14,514",97.3
E05000366 : Barnsbury,"12,201",147.1
E05000367 : Bunhill,"14,639",134.4
E05000368 : Caledonian,"13,896",122.1
E05000369 : Canonbury,"12,072",149.5
E05000370 : Clerkenwell,"11,490",122.9
E05000371 : Finsbury Park,"14,358",156.7
E05000372 : Highbury East,"11,634",115.9
E05000373 : Highbury West,"15,030",138.9
E05000374 : Hillrise,"11,794",143.0
E05000375 : Holloway,"14,983",148.4
E05000376 : Junction,"12,025",117.0
E05000377 : Mildmay,"12,917",156.4
E05000378 : St George's,"12,400",146.6
E05000379 : St Mary's,"11,553",133.0
E05000380 : St Peter's,"11,822",146.0
E05000381 : Tollington,"13,311",157.2
E05000382 : Abingdon,"10,013",159.2
E05000383 : Brompton,"8,839",92.6
E05000384 : Campden,"8,178",89.7
E05000385 : Colville,"8,377",214.4
E05000386 : Courtfield,"8,933",185.3
E05000387 : Cremorne,"7,964",166.0
E05000388 : Earl's Court,"9,104",198.1
E05000389 : Golborne,"8,937",94.2
E05000390 : Hans Town,"8,792",159.1
E05000391 : Holland,"9,767",94.0
E05000392 : Norland,"8,675",119.4
E05000393 : Notting Barns,"9,537",153.1
E05000394 : Pembridge,"7,659",157.0
E05000395 : Queen's Gate,"9,847",162.8
E05000396 : Redcliffe,"9,245",133.3
E05000397 : Royal Hospital,"7,252",93.7
E05000398 : St Charles,"9,343",131.7
E05000399 : Stanley,"8,187",123.6
E05000416 : Bishop's,"9,675",78.2
E05000417 : Brixton Hill,"15,842",140.3
E05000418 : Clapham Common,"12,852",95.7
E05000419 : Clapham Town,"13,795",123.2
E05000420 : Coldharbour,"16,784",138.9
E05000421 : Ferndale,"15,032",176.2
E05000422 : Gipsy Hill,"13,712",87.3
E05000423 : Herne Hill,"15,107",74.4
E05000424 : Knight's Hill,"14,763",100.3
E05000425 : Larkhall,"17,243",162.9
E05000426 : Oval,"15,106",121.9
E05000427 : Prince's,"14,262",134.1
E05000428 : St Leonard's,"14,550",100.4
E05000429 : Stockwell,"14,777",170.0
E05000430 : Streatham Hill,"14,263",112.1
E05000431 : Streatham South,"14,336",84.4
E05000432 : Streatham Wells,"14,906",102.7
E05000433 : Thornton,"12,526",115.7
E05000434 : Thurlow Park,"13,641",90.1
E05000435 : Tulse Hill,"15,771",153.2
E05000436 : Vassall,"14,143",125.2
E05000437 : Bellingham,"14,775",47.9
E05000438 : Blackheath,"14,039",60.7
E05000439 : Brockley,"17,156",101.7
E05000440 : Catford South,"15,214",81.5
E05000441 : Crofton Park,"14,937",86.8
E05000442 : Downham,"14,567",61.2
E05000443 : Evelyn,"16,603",102.4
E05000444 : Forest Hill,"14,854",81.3
E05000445 : Grove Park,"14,648",61.2
E05000446 : Ladywell,"14,515",90.3
E05000447 : Lee Green,"14,573",80.6
E05000448 : Lewisham Central,"17,446",84.9
E05000449 : New Cross,"15,756",87.6
E05000450 : Perry Vale,"15,618",92.7
E05000451 : Rushey Green,"14,916",83.8
E05000452 : Sydenham,"15,605",89.5
E05000453 : Telegraph Hill,"16,414",106.3
E05000454 : Whitefoot,"14,249",64.1
E05000475 : Beckton,"15,141",27.3
E05000476 : Boleyn,"15,982",174.4
E05000477 : Canning Town North,"14,810",60.1
E05000478 : Canning Town South,"15,996",95.0
E05000479 : Custom House,"13,411",65.0
E05000480 : East Ham Central,"15,917",153.2
E05000481 : East Ham North,"13,866",153.4
E05000482 : East Ham South,"15,575",86.8
E05000483 : Forest Gate North,"16,257",130.5
E05000484 : Forest Gate South,"17,362",145.7
E05000485 : Green Street East,"15,885",213.8
E05000486 : Green Street West,"15,113",187.8
E05000487 : Little Ilford,"16,633",87.6
E05000488 : Manor Park,"15,318",113.5
E05000489 : Plaistow North,"15,470",157.7
E05000490 : Plaistow South,"16,404",118.3
E05000491 : Royal Docks,"10,679",32.3
E05000492 : Stratford and New Town,"17,768",42.4
E05000493 : Wall End,"14,846",107.6
E05000494 : West Ham,"15,551",116.5
E05000534 : Brunswick Park,"13,174",140.9
E05000535 : Camberwell Green,"15,032",154.2
E05000536 : Cathedrals,"14,941",94.4
E05000537 : Chaucer,"15,178",165.3
E05000538 : College,"11,812",36.5
E05000539 : East Dulwich,"12,321",121.0
E05000540 : East Walworth,"11,557",110.3
E05000541 : Faraday,"12,839",146.4
E05000542 : Grange,"15,362",127.5
E05000543 : Livesey,"14,129",98.4
E05000544 : Newington,"14,136",169.8
E05000545 : Nunhead,"13,620",103.0
E05000546 : Peckham,"14,720",168.7
E05000547 : Peckham Rye,"13,518",60.0
E05000548 : Riverside,"14,390",137.2
E05000549 : Rotherhithe,"13,743",100.8
E05000550 : South Bermondsey,"13,780",141.6
E05000551 : South Camberwell,"12,629",94.9
E05000552 : Surrey Docks,"13,435",92.6
E05000553 : The Lane,"15,565",112.0
E05000554 : Village,"12,402",44.5
E05000573 : Bethnal Green North,"13,683",166.3
E05000574 : Bethnal Green South,"14,166",160.7
E05000575 : Blackwall and Cubitt Town,"19,461",86.7
E05000576 : Bow East,"14,781",79.5
E05000577 : Bow West,"12,939",96.1
E05000578 : Bromley-by-Bow,"14,480",134.8
E05000579 : East India and Lansbury,"14,859",126.1
E05000580 : Limehouse,"15,986",149.1
E05000581 : Mile End and Globe Town,"15,190",168.8
E05000582 : Mile End East,"13,354",124.8
E05000583 : Millwall,"23,084",117.7
E05000584 : St Dunstan's and Stepney Green,"16,238",159.5
E05000585 : St Katharine's and Wapping,"12,411",108.7
E05000586 : Shadwell,"15,110",174.7
E05000587 : Spitalfields and Banglatown,"10,286",161.1
E05000588 : Weavers,"13,206",169.5
E05000589 : Whitechapel,"14,862",161.9
E05000610 : Balham,"14,751",122.1
E05000611 : Bedford,"14,575",80.8
E05000612 : Earlsfield,"15,448",109.5
E05000613 : East Putney,"15,022",93.4
E05000614 : Fairfield,"14,613",105.3
E05000615 : Furzedown,"15,504",109.7
E05000616 : Graveney,"15,198",150.8
E05000617 : Latchmere,"15,358",141.6
E05000618 : Nightingale,"14,679",119.2
E05000619 : Northcote,"14,940",89.0
E05000620 : Queenstown,"16,331",56.4
E05000621 : Roehampton and Putney Heath,"16,132",36.5
E05000622 : St Mary's Park,"16,556",153.0
E05000623 : Shaftesbury,"14,160",149.4
E05000624 : Southfields,"16,256",106.8
E05000625 : Thamesfield,"14,842",89.5
E05000626 : Tooting,"16,239",101.2
E05000627 : Wandsworth Common,"15,247",55.2
E05000628 : West Hill,"16,402",97.1
E05000629 : West Putney,"14,742",79.8
E05000630 : Abbey Road,"11,250",102.7
E05000631 : Bayswater,"10,300",199.0
E05000632 : Bryanston and Dorset Square,"11,991",165.9
E05000633 : Churchill,"9,618",186.5
E05000634 : Church Street,"11,760",264.7
E05000635 : Harrow Road,"12,034",243.3
E05000636 : Hyde Park,"12,462",130.0
E05000637 : Knightsbridge and Belgravia,"9,270",25.8
E05000638 : Lancaster Gate,"13,195",209.5
E05000639 : Little Venice,"10,633",167.3
E05000640 : Maida Vale,"10,210",158.0
E05000641 : Marylebone High Street,"10,366",103.5
E05000642 : Queen's Park,"12,563",215.4
E05000643 : Regent's Park,"12,067",53.5
E05000644 : St James's,"10,828",33.9
E05000645 : Tachbrook,"8,158",230.7
E05000646 : Vincent Square,"9,988",167.9
E05000647 : Warwick,"9,369",163.4
E05000648 : Westbourne,"12,759",189.2
E05000649 : West End,"10,575",53.0
E05000026 : Abbey,"12,786",102.1
E05000027 : Alibon,"10,385",76.3
E05000028 : Becontree,"11,545",89.8
E05000029 : Chadwell Heath,"10,021",29.6
E05000030 : Eastbrook,"10,506",30.4
E05000031 : Eastbury,"11,624",80.4
E05000032 : Gascoigne,"12,452",114.6
E05000033 : Goresbrook,"11,267",88.0
E05000034 : Heath,"10,786",53.8
E05000035 : Longbridge,"11,478",70.0
E05000036 : Mayesbrook,"10,342",55.9
E05000037 : Parsloes,"9,839",79.1
E05000038 : River,"10,923",34.8
E05000039 : Thames,"10,728",16.0
E05000040 : Valence,"9,867",76.3
E05000041 : Village,"10,787",50.4
E05000042 : Whalebone,"10,575",68.1
E05000043 : Brunswick Park,"16,394",51.7
E05000044 : Burnt Oak,"18,217",88.3
E05000045 : Childs Hill,"20,049",64.9
E05000046 : Colindale,"17,098",64.7
E05000047 : Coppetts,"17,250",63.4
E05000048 : East Barnet,"16,137",43.0
E05000049 : East Finchley,"15,989",63.4
E05000050 : Edgware,"16,728",30.1
E05000051 : Finchley Church End,"15,715",58.0
E05000052 : Garden Suburb,"15,929",33.7
E05000053 : Golders Green,"18,818",63.2
E05000054 : Hale,"17,437",32.2
E05000055 : Hendon,"18,472",65.0
E05000056 : High Barnet,"15,307",18.4
E05000057 : Mill Hill,"18,451",19.7
E05000058 : Oakleigh,"15,811",47.7
E05000059 : Totteridge,"15,159",17.3
E05000060 : Underhill,"15,915",35.0
E05000061 : West Finchley,"16,533",76.5
E05000062 : West Hendon,"17,402",50.8
E05000063 : Woodhouse,"17,575",67.3
E05000064 : Barnehurst,"10,418",36.3
E05000065 : Belvedere,"11,890",41.6
E05000066 : Blackfen and Lamorbey,"10,616",62.9
E05000067 : Blendon and Penhill,"10,910",52.0
E05000068 : Brampton,"10,546",53.5
E05000069 : Christchurch,"10,965",43.0
E05000070 : Colyers,"11,128",67.8
E05000071 : Crayford,"11,226",28.3
E05000072 : Cray Meadows,"11,207",15.6
E05000073 : Danson Park,"10,864",40.0
E05000074 : East Wickham,"10,858",50.0
E05000075 : Erith,"12,053",35.0
E05000076 : Falconwood and Welling,"10,800",64.8
E05000077 : Lesnes Abbey,"11,346",47.9
E05000078 : Longlands,"10,442",40.3
E05000079 : North End,"11,566",25.9
E05000080 : Northumberland Heath,"10,598",60.1
E05000081 : St Mary's,"10,491",23.7
E05000082 : St Michael's,"11,135",77.1
E05000083 : Sidcup,"10,844",40.1
E05000084 : Thamesmead East,"12,094",30.4
E05000085 : Alperton,"14,017",68.1
E05000086 : Barnhill,"15,772",53.0
E05000087 : Brondesbury Park,"13,023",75.6
E05000088 : Dollis Hill,"13,425",58.4
E05000089 : Dudden Hill,"15,059",89.6
E05000090 : Fryent,"13,445",50.6
E05000091 : Harlesden,"17,162",154.0
E05000092 : Kensal Green,"14,915",133.1
E05000093 : Kenton,"12,133",53.9
E05000094 : Kilburn,"16,989",180.0
E05000095 : Mapesbury,"15,529",111.4
E05000096 : Northwick Park,"12,811",47.9
E05000097 : Preston,"15,474",64.6
E05000098 : Queens Park,"15,281",102.7
E05000099 : Queensbury,"15,155",73.9
E05000100 : Stonebridge,"16,903",41.7
E05000101 : Sudbury,"14,950",70.2
E05000102 : Tokyngton,"15,105",54.6
E05000103 : Welsh Harp,"13,753",59.5
E05000104 : Wembley Central,"14,727",91.9
E05000105 : Willesden Green,"15,587",100.7
E05000106 : Bickley,"15,098",31.0
E05000107 : Biggin Hill,"9,951",12.0
E05000108 : Bromley Common and Keston,"15,113",18.2
E05000109 : Bromley Town,"16,826",45.3
E05000110 : Chelsfield and Pratts Bottom,"14,507",11.5
E05000111 : Chislehurst,"14,831",14.2
E05000112 : Clock House,"15,560",68.7
E05000113 : Copers Cope,"15,392",46.8
E05000114 : Cray Valley East,"15,445",11.6
E05000115 : Cray Valley West,"16,769",42.6
E05000116 : Crystal Palace,"12,255",53.4
E05000117 : Darwin,"5,110",1.8
E05000118 : Farnborough and Crofton,"14,632",20.9
E05000119 : Hayes and Coney Hall,"15,906",14.7
E05000120 : Kelsey and Eden Park,"15,892",30.6
E05000121 : Mottingham and Chislehurst North,"9,987",40.8
E05000122 : Orpington,"15,311",36.0
E05000123 : Penge and Cator,"17,326",58.6
E05000124 : Petts Wood and Knoll,"13,651",31.7
E05000125 : Plaistow and Sundridge,"15,122",37.8
E05000126 : Shortlands,"9,824",40.0
E05000127 : West Wickham,"14,884",33.7
E05000146 : Addiscombe,"16,883",105.8
E05000147 : Ashburton,"14,721",54.2
E05000148 : Bensham Manor,"16,201",112.1
E05000149 : Broad Green,"18,652",69.9
E05000150 : Coulsdon East,"12,244",15.8
E05000151 : Coulsdon West,"13,449",26.9
E05000152 : Croham,"15,790",44.8
E05000153 : Fairfield,"16,569",44.0
E05000154 : Fieldway,"11,479",77.3
E05000155 : Heathfield,"13,213",15.2
E05000156 : Kenley,"14,966",23.2
E05000157 : New Addington,"10,801",44.5
E05000158 : Norbury,"16,476",65.4
E05000159 : Purley,"14,607",35.0
E05000160 : Sanderstead,"12,777",20.1
E05000161 : Selhurst,"18,087",79.4
E05000162 : Selsdon and Ballards,"11,719",18.3
E05000163 : Shirley,"14,296",51.1
E05000164 : South Norwood,"16,518",69.4
E05000165 : Thornton Heath,"16,539",98.4
E05000166 : Upper Norwood,"16,082",61.4
E05000167 : Waddon,"17,077",46.9
E05000168 : West Thornton,"17,489",88.6
E05000169 : Woodside,"16,743",77.3
E05000170 : Acton Central,"15,427",86.9
E05000171 : Cleveland,"14,558",65.2
E05000172 : Dormers Wells,"13,910",61.6
E05000173 : Ealing Broadway,"14,029",75.6
E05000174 : Ealing Common,"14,019",65.5
E05000175 : East Acton,"18,706",43.8
E05000176 : Elthorne,"14,539",72.7
E05000177 : Greenford Broadway,"17,625",69.9
E05000178 : Greenford Green,"14,349",42.4
E05000179 : Hanger Hill,"15,561",47.5
E05000180 : Hobbayne,"14,229",64.4
E05000181 : Lady Margaret,"13,897",90.3
E05000182 : Northfield,"13,517",88.1
E05000183 : North Greenford,"14,713",45.3
E05000184 : Northolt Mandeville,"15,183",55.2
E05000185 : Northolt West End,"15,121",42.6
E05000186 : Norwood Green,"14,032",37.0
E05000187 : Perivale,"15,339",45.6
E05000188 : South Acton,"14,873",86.5
E05000189 : Southall Broadway,"13,439",82.8
E05000190 : Southall Green,"14,579",92.0
E05000191 : Southfield,"13,474",94.0
E05000192 : Walpole,"13,330",90.9
E05000193 : Bowes,"14,051",94.6
E05000194 : Bush Hill Park,"13,923",55.1
E05000195 : Chase,"13,762",8.1
E05000196 : Cockfosters,"13,788",13.2
E05000197 : Edmonton Green,"17,949",57.4
E05000198 : Enfield Highway,"16,027",34.5
E05000199 : Enfield Lock,"16,469",50.7
E05000200 : Grange,"12,709",38.7
E05000201 : Haselbury,"16,263",90.5
E05000202 : Highlands,"13,006",25.6
E05000203 : Jubilee,"14,355",49.9
E05000204 : Lower Edmonton,"16,531",89.3
E05000205 : Palmers Green,"15,162",78.1
E05000206 : Ponders End,"15,664",44.2
E05000207 : Southbury,"14,506",50.7
E05000208 : Southgate,"14,454",53.7
E05000209 : Southgate Green,"13,787",52.7
E05000210 : Town,"14,906",66.7
E05000211 : Turkey Street,"14,377",63.7
E05000212 : Upper Edmonton,"17,374",65.6
E05000213 : Winchmore Hill,"13,403",48.6
E05000214 : Abbey Wood,"15,704",59.2
E05000215 : Blackheath Westcombe,"12,875",60.2
E05000216 : Charlton,"14,385",70.7
E05000217 : Coldharbour and New Eltham,"13,062",51.3
E05000218 : Eltham North,"12,519",49.1
E05000219 : Eltham South,"12,541",27.1
E05000220 : Eltham West,"10,399",42.9
E05000221 : Glyndon,"18,171",117.4
